table_schema,table_name,indexname,indexdef
sch_facturador,t_exportacion_factura_job,pk_exportacion_factura_id,CREATE UNIQUE INDEX pk_exportacion_factura_id ON sch_facturador.t_exportacion_factura_job USING btree (id)
sch_facturador,t_exportacion_pami_job,t_exportacion_pami_job_job_id_key,CREATE UNIQUE INDEX t_exportacion_pami_job_job_id_key ON sch_facturador.t_exportacion_pami_job USING btree (job_id)
sch_facturador,t_exportacion_pami_job,t_exportacion_pami_job_pkey,CREATE UNIQUE INDEX t_exportacion_pami_job_pkey ON sch_facturador.t_exportacion_pami_job USING btree (id)
sch_facturador,t_exportacion_pami_job_parametros,t_exportacion_pami_job_parametros_pkey,CREATE UNIQUE INDEX t_exportacion_pami_job_parametros_pkey ON sch_facturador.t_exportacion_pami_job_parametros USING btree (id)
sch_facturador,t_exportacion_pami_job_prestadores,t_exportacion_pami_job_prestadores_pkey,CREATE UNIQUE INDEX t_exportacion_pami_job_prestadores_pkey ON sch_facturador.t_exportacion_pami_job_prestadores USING btree (id)
sch_facturador,t_facturas,pk_factura_id,CREATE UNIQUE INDEX pk_factura_id ON sch_facturador.t_facturas USING btree (id)
sch_facturador,t_facturas_estado_factura,t_facturas_estado_factura_pkey,CREATE UNIQUE INDEX t_facturas_estado_factura_pkey ON sch_facturador.t_facturas_estado_factura USING btree (id)
sch_facturador,t_facturas_prefacturas,pk_factura_prefactura_id,CREATE UNIQUE INDEX pk_factura_prefactura_id ON sch_facturador.t_facturas_prefacturas USING btree (id)
sch_facturador,t_facturas_prestadores,pk_factura_prestador_id,CREATE UNIQUE INDEX pk_factura_prestador_id ON sch_facturador.t_facturas_prestadores USING btree (id)
sch_facturador,t_his_facturas,pk_his_facturas_id,CREATE UNIQUE INDEX pk_his_facturas_id ON sch_facturador.t_his_facturas USING btree (id)
sch_facturador,t_his_facturas_prefacturas,pk_his_facturas_prefacturas_id,CREATE UNIQUE INDEX pk_his_facturas_prefacturas_id ON sch_facturador.t_his_facturas_prefacturas USING btree (id)
sch_facturador,t_importacion_alfabeta_job,t_importacion_alfabeta_job_id_key,CREATE UNIQUE INDEX t_importacion_alfabeta_job_id_key ON sch_facturador.t_importacion_alfabeta_job USING btree (job_id)
sch_facturador,t_importacion_alfabeta_job,t_importacion_alfabeta_job_pkey,CREATE UNIQUE INDEX t_importacion_alfabeta_job_pkey ON sch_facturador.t_importacion_alfabeta_job USING btree (id)
sch_facturador,t_importacion_descartables_job,t_importacion_descartables_job_id_ukey,CREATE UNIQUE INDEX t_importacion_descartables_job_id_ukey ON sch_facturador.t_importacion_descartables_job USING btree (job_id)
sch_facturador,t_importacion_descartables_job,t_importacion_descartables_job_pkey,CREATE UNIQUE INDEX t_importacion_descartables_job_pkey ON sch_facturador.t_importacion_descartables_job USING btree (id)
sch_facturador,t_importacion_descartables_job_parametros,pk_importacion_descartables_job_parametros,CREATE UNIQUE INDEX pk_importacion_descartables_job_parametros ON sch_facturador.t_importacion_descartables_job_parametros USING btree (id)
sch_facturador,t_importacion_tarifario_job,t_importacion_tarifario_job_id_key,CREATE UNIQUE INDEX t_importacion_tarifario_job_id_key ON sch_facturador.t_importacion_tarifario_job USING btree (job_id)
sch_facturador,t_importacion_tarifario_job,t_importacion_tarifario_job_pkey,CREATE UNIQUE INDEX t_importacion_tarifario_job_pkey ON sch_facturador.t_importacion_tarifario_job USING btree (id)
sch_facturador,t_importacion_tarifario_job_parametros,pk_importacion_tarifario,CREATE UNIQUE INDEX pk_importacion_tarifario ON sch_facturador.t_importacion_tarifario_job_parametros USING btree (id)
sch_facturador,t_metodos_registro,pk_metodo_registro_id,CREATE UNIQUE INDEX pk_metodo_registro_id ON sch_facturador.t_metodos_registro USING btree (id)
sch_facturador,t_modulos_prestaciones_procesamientos,idx_t_modulos_prestaciones_procesamientos,"CREATE INDEX idx_t_modulos_prestaciones_procesamientos ON sch_facturador.t_modulos_prestaciones_procesamientos USING btree (id_lote, id_episodio, id_prestacion_referencia)"
sch_facturador,t_modulos_prestaciones_procesamientos,pk_t_modulos_prestaciones_procesamientos_id,CREATE UNIQUE INDEX pk_t_modulos_prestaciones_procesamientos_id ON sch_facturador.t_modulos_prestaciones_procesamientos USING btree (id)
sch_facturador,t_modulos_prestaciones_procesamientos,uk_t_modulos_prestaciones_procesamientos_id_prestacion_episodio,"CREATE UNIQUE INDEX uk_t_modulos_prestaciones_procesamientos_id_prestacion_episodio ON sch_facturador.t_modulos_prestaciones_procesamientos USING btree (id_lote, id_prestacion_episodio)"
sch_facturador,t_modulos_procesamientos,idx_t_modulos_procesamientos,"CREATE INDEX idx_t_modulos_procesamientos ON sch_facturador.t_modulos_procesamientos USING btree (id_lote, id_episodio, id_modulo)"
sch_facturador,t_modulos_procesamientos,uk_t_modulos_procesamientos_id_prestacion_episodio,"CREATE UNIQUE INDEX uk_t_modulos_procesamientos_id_prestacion_episodio ON sch_facturador.t_modulos_procesamientos USING btree (id_lote, id_prestacion_episodio)"
sch_facturador,t_pacientes,pk_pacientes_id,CREATE UNIQUE INDEX pk_pacientes_id ON sch_facturador.t_pacientes USING btree (id)
sch_facturador,t_pacientes,uq_tipo_documento_documento_fecha,"CREATE UNIQUE INDEX uq_tipo_documento_documento_fecha ON sch_facturador.t_pacientes USING btree (id_tipo_documento, nro_documento, fecha_nacimiento)"
sch_facturador,t_pases,idx_t_pases_metodo_fecha_migracion,"CREATE INDEX idx_t_pases_metodo_fecha_migracion ON sch_facturador.t_pases USING btree (id_metodo_registro, fecha_migracion)"
sch_facturador,t_pases,pk_pase_id,CREATE UNIQUE INDEX pk_pase_id ON sch_facturador.t_pases USING btree (id)
sch_facturador,t_prefacturas,pk_prefacturas_id,CREATE UNIQUE INDEX pk_prefacturas_id ON sch_facturador.t_prefacturas USING btree (id)
sch_facturador,t_prefacturas_conceptos,pk_prefacturas_conceptos_id,CREATE UNIQUE INDEX pk_prefacturas_conceptos_id ON sch_facturador.t_prefacturas_conceptos USING btree (id)
sch_facturador,t_prestaciones,pk_prestaciones_id,CREATE UNIQUE INDEX pk_prestaciones_id ON sch_facturador.t_prestaciones USING btree (id)
