fk_schema,fk_table,constraint_name,fk_column,pk_schema,pk_table,pk_column,key_ordinal
sch_facturador,t_modulos_procesamientos,fk_t_modulos_procesamientos_id_prestacion_referencia,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_facturador,t_pases,fk_pases_servicio,id_servicio,sch_convenios,tm_servicios,id,1
sch_facturador,t_pases,fk_pases_servicio_destino,id_servicio_destino,sch_convenios,tm_servicios,id,1
sch_facturador,t_pases,fk_pases_servicio_origen,id_servicio_origen,sch_convenios,tm_servicios,id,1
sch_facturador,t_prefacturas,fk_prefacturas_convenios,id_convenio,sch_convenios,t_convenios,id,1
sch_facturador,t_prefacturas,fk_prefacturas_financiadores,id_gerenciador,sch_convenios,t_financiadores,id,1
sch_facturador,t_prefacturas,fk_prefacturas_prefacturas_estados,id_prefactura_estado,sch_facturador,tm_prefacturas_estados,id,1
sch_facturador,t_prefacturas,fk_prefacturas_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_facturador,t_prefacturas,fk_prefacturas_semaforos,id_semaforo,sch_facturador,tm_semaforos,id,1
sch_facturador,t_prefacturas_conceptos,fk_prefacturas_conceptos_conceptos_facturables,id_concepto_facturable,sch_facturador,t_conceptos_facturables,id,1
sch_facturador,t_prefacturas_conceptos,fk_prefacturas_conceptos_prefacturas,id_prefactura,sch_facturador,t_prefacturas,id,1
sch_facturador,t_prestaciones,fk_prestaciones_tipo_prestacion,id_tipo_prestacion,sch_facturador,tm_tipos_prestaciones,id,1
sch_facturador,t_prestaciones_conceptos_facturables,fk_prestaciones_conceptos_facturables_conceptos_facturables,id_concepto_facturable,sch_facturador,t_conceptos_facturables,id,1
sch_facturador,t_prestaciones_conceptos_facturables,fk_prestaciones_conceptos_facturables_convenios,id_convenio_plan,sch_convenios,t_convenios_planes,id,1
sch_facturador,t_prestaciones_conceptos_facturables,fk_prestaciones_conceptos_facturables_prestaciones_catalogos,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_episodios_generales,id_episodio_general,sch_facturador,t_episodios_generales,id,1
sch_facturador,t_prestaciones_episodios,fk_prestaciones_episodios_especialidades,id_especialidad,sch_convenios,tm_especialidades,id,1
